review_id,author,rating,date,thumbs_up,text
R001,I'm Khanu,1,2020-11-13,948,"Instagram has not been working at all since the latest update to Instagram ( today's update ) If I try to open it too, it shuts down and it's show me unfortunately instagram has been stopped so kindly fix the problem as soon as possible."
R002,Abdullah Abu bakar,4,2020-11-20,231,"Instagram lite is good and have every features that it should have but , you should at least add dark mode in it ,it would less strain my eyes 👀 as it's too bright too use in Midnights . Hope you'll understand 🙂"
R003,Abhishek Abu,3,2020-12-09,347,"Hlo sir instagram and instagram lite both. are very best app a but there is many problems in instagram lite No dark theme provide, no reel videos option and too many problems please solve this problem as soon as possible. Instagram is best and lite also but solve this problem quickly thanku"
R004,Go viral,5,2020-12-09,148,Thank you so much for launching Instagram lite version. Its working faster on devices less than 2GB RAM. I'm very exciting for this lite version.
R005,Gorav Sharma,4,2020-12-10,815,By the way App is awesome 😎. But I'm giving it 4 stars because of a bug which is also in Facebook Lite. During split screen only Instagram Lite and Facebook Lite have issue that it only cover 60% of screen and remaining screen is white. Please contact me via email so that I can send you screenshot so that you can understand more deeply. Please fix it we are unable to do multitasking with this bug. Except this bug app is awesome for 1Gb and 2Gb ram mobiles👍
R006,Ajay Singh Chauhan,5,2020-12-12,649,This lite version is awesome !! And there is no specific tab for that annoying Reels and that's a bonus!!!!! But there are some minor lags while opening new posts and while switching to different tabs !! So please make better !! Otherwise everything is Awesome !!!!
R007,Soorya Ravindran,4,2020-12-16,359,"App is good, has all the basic features, but the screen resolution is less, doesn't occupies the full screen. And also there is no native dark mode. If those features are added, this would be a great app."
R008,Vishnu AR,2,2020-12-16,967,"It's not working!!!! When I tap on something, it isn't loading and says ""something went wrong"" actually you should fix so many issues if you want to get 5 star rating from me! I thought this app would be one of the best, but I'm so disappointed with this application."
R009,꧁༺ɢօʋɨռɖ ʝɦǟ༻꧂,5,2020-12-18,317,"Instagram Lite makes it easier to bring you closer to the people and things you love. The Instagram Lite app is small, fast and works on all networks. Enjoy the best features of INSTA like connecting with friends, sharing what you’re up to, or seeing what’s new from others all over the world. Explore our community where you can feel free to be yourself and share everything from your daily moments to life's highlights. Express Yourself and Connect With Friends"
R010,Ayush Víshwakarma,2,2020-12-19,329,There is nothing like refresh. When you refresh the feed it doesn't get refreshed. And dark mode is still missing. By the way the app is awsome and the plus point is there is no specific reels button that annoy you. Please solve this problem ASAP.
R011,Anushyy,5,2020-12-20,3158,I like the lite version of Instagram. It feels very simple. But it is very basic version of Instagram and some of the features are not there yet. There are bugs and I believe they will fix it in the future updates. The loading is little slow but it can run in slow internet connection. Well I'm glad there is a lite version for Instagram and I really like it ! ❤
R012,Ramy Ahmed,1,2020-12-26,2109,"How come that a 'lite' version runs much slower than the full version, and on the same exact device? And why does every single action require a loading bar before it opens, even switching tabs?! This is certainly not a lighter version. This is an outdated website within an app container. I was really hoping for a simpler version of Instagram with only the original features, and without Reels and all the other distractions added lately, but what you created here is a huge disappointment."
R013,Fayis Ismail,4,2021-01-03,2197,I've been using this app for a while now and I can say that it needs a lot of improvement. There are a lot of bugs and the lite version is missing many features. There are a lot of features that are missing which were important. There is no sticker support. It doesn't support voice messages and there are no camera filters or any kind of effects. We can't even add close friends in the lite version. I hope the developers improve it.
R014,Tirtha Adhikary,3,2021-01-07,3030,"Apps pretty good but the dark mode sucks. Can't see anything it's all black also the fonts are black. Also one other bug. Who ever uses full screen mode including me instead of nav bar the bottom portion where the nav bar stays is blank, where The Home Icon, search icon and the other 3 icons should be. Instead they stay above the nav bar space that we don't use. We have switched to gesture full screen mode, so the app needs to fix this problem."
R015,phadhi girl rittika sharma,4,2021-01-07,157,"It is a very pretty version.it provides us all the features of instagram in one short short aap but its features like dark mode are not yet arrived here .so ,it needs some improvement"
R016,Barathi Kanya,2,2021-01-17,341,This app is a waste😬. If this app is updated and works properly I'll surely give 5 stars. I'm not able to post sometimes. Fix this problem first 🤦‍♀️. It is taking a lot of time to load🙄. Please fix this problem.
R017,mahi kumari xii d . 27,5,2021-01-18,1568,"It felt exactly like facebook to me. And i didn't have much trouble in using it. 💜💜 Both apps ( Instagram, Instagram lite ) are very good. Install the app as you like bcoz I used both apps and i had no problem with both. Both the apps are excellent to use..... 💜💨😻"
R018,Mohit,2,2021-01-20,1246,"You can't do anything on this app. This app is just a web version of Instagram. The actual website is better than this. Everything loads so slowly, and it is taking up more than 40 MB for cache which in no way is ""lite""."
R019,aditi wegad,5,2021-01-31,153,"If you don't want distraction from reels and unwanted videos, it's best.... I would surely recommend you to download it, if you easily get distracted by insta reels 😇👍"
R020,ihtesham Haider,4,2021-01-31,148,Four stars because I really don't like the rendering dots.... When you open it... Can you please change it. With slicing or something cool.
R021,Venki 0_0,2,2021-02-01,4057,"Hey! If ur a feed consumer, then go for it If ur into content creator, definitely not recommended! Difference:(what you cannot do in lite version) -no reels section -you cannot use it in night mode(if u use in night mode u can't see the logos in bottom and top like home, search, reels, heart, ur profile, dms, story etc... (-2star) -U can't make story (-1star) ... And much more"
R022,Suraj Garhwal,2,2021-02-02,870,"see overall the app is good .. but in split screen, only half of the screen is visible and the bottom icons are fully cut down .. soo thats a major bug ... and other stability issues are there so please resolve them too ... hope somebody listens to this .."
R023,M Atif,3,2021-02-04,839,The app is nice but there r some features missing which were there in the original instagram like the ' write a text ' option is missing in story and voice message icon is also missing and the reels icon is also missing so thats why 3 stars
R024,Sai Krishna Murari,2,2021-02-04,3142,Things you need to fix- 1. New feed is not loading. 2. When we read a message it still shown as unread. And things you need to add- 1. You can't zoom in any photo in lite 2. You can't react to stories Since it is a lighter version I am ok with curret app except the above mentioned.If you fix these things it will be great.
R025,Aman Kesarwani,1,2021-02-12,934,Fix some issues and add features:- 1)) introduce dark(night) mode 2)) not preload igtv or reels videos (because it is lite app and we use lite apps because we want more in less data) 3)) Give data saver mode to loas images in very low quality 4)) Fix other issues of app stability.
R026,Sumit Saren,2,2021-02-13,1618,It's a great alternative of Instagram and the best part why I left the original to this lite version is because of no ads in lite and also because the feeds are not to addictive.However a lot of improvements are needed in this like specially the older post always stay on top so for newer post you have to scroll down which is to irritating also you cannot zoom on posts.But since it is newly launched I hope this gets fixed soon as this lite version looks better than the original.
R027,Sree Charan,1,2021-02-14,2703,"This app is pointless. When you can open this in browser, why build an app again? - Opening in Browser is much better. - Photos are cropped. - There is a bug while seeing ""more"" in the captions. - No stories - Doesn't open exact profile link or video link. Cannot watch a single video."
R028,Sayan Sameer,3,2021-02-16,506,"Just not good enough yet. No dark theme. Couldn't visit my 2nd account because it just keeps asking for code sent to my phone and when I enter it, it asks for it again and again. The stories don't work properly too. 3/5."
R029,Brijtekken,2,2021-02-23,786,Thanks for this... i didn't expected Facebook will do such thing. But could you please include a total black dark mode. To reduce the eye strain. It not easy always to use Instagram in white theme. So please do include a complete black dark mode. I do only texting and messaging rarely That's all.
R030,Harsh Jadhav,3,2021-02-24,1126,Its a nice app But the problem is that while watching stories of my friends its not go to next page its just stop at one story of only particular post so we have to Struggle to change the page again and again But it's Quite Good And nice App. Only thing is Just Add Music option while posting image With Music please its a humble Request to Instagram Team
R031,Angie Soli,3,2021-02-25,506,"So this lite version is okay .. just few bugs need to be fixed. I opened stories and couldn't get out of it as it showed me ""error"" when i tried to close it. Another thing, it takes long time to reload my follow requests idk why."
R032,Pritam Paul,5,2021-02-27,3239,"Really a good app for low end devices. Very light app, no bug at all. I would like to suggest some further improvements from my side, 1. Give support for reels. 2. Give option for dark mode. 3. Give direct message sort option like general and primary. Thank you.❤️"
R033,Kuziva Mubonderi,1,2021-03-01,758,The app is the worst Instagram experience I've had it felt like I went back in time to 2017 but couldn't vote on stories etc. The app could have just had the same functionality as The original Instagram but it fell like a browser app that has less functionality. It horrible I wish I could give it 0 stars. Uninstalled
R034,Queena Marie,4,2021-03-03,3140,"4 stars because: - I can finally see fancy/special/aesthetic fonts using the lite version of Instagram. My phone itself couldn't read special fonts in any other app so this point is a big thumbs up! 👍🏻 - works just as fine as the actual Instagram app, it's a bit laggy but I'm fine with it. 😘 ❗BUT❗ - the emojis used in the lite version is different from my phone's system emoji, causing me to see squares on some exclusive emojis. I hope this can be fixed! 🥰 - dark mode please 🤣"
R035,vahn29_s,2,2021-03-03,458,Why I give just 2 star because... First of all its good to save more storage in the device 2nd its is good for less consume in data.. The thing that i bothered is i cannot.vote the poll and all the pivtures were cropped as hell its very anooying for me
R036,Aditya Shekhar,5,2021-03-05,348,This is good if you want to get over from your addiction for instagram .. as it has less features it won't allow you to use this for longer periods. It was helpful for me atleast.
R037,my&f,1,2021-03-10,962,I'm glad that there's a lite version of instagram since my phone had issues with the actual app. This lite app works pretty good but with less feature this sucks. We need the pass through the posts. It's hilarious to open one by one.
R038,Karthiga Karthi,3,2021-03-11,509,Can u suggest more posts in explore section. I'm getting repeated post from the time of using this app. When it comes to data usage it works in low network coverage. It's very nice.. So pls solve the repeated suggestion of posts.
R039,Marvin Martin,4,2021-03-14,3843,"This Instagram Lite is absolutely great app. But it can't fully completed. My suggestions to Instagram is: 1. Please add stickers for free. 2. Extend Instagram photos into 20 photos, NOT 10 photos. 3. Please add video extension to 3 minutes only, NOT 1 minute video. 4. Less data for Instagram stories. 5. Make sure this Instagram Lite is really 70% less data, truly easy to messaging and posting, and full of happiness with stickers. Thank you."
R040,keaya lisa,4,2021-03-16,643,"I used this lite version and now I can post in my page and send stories . The normal Instagram I can't post anything and I dunno why . Butt the Emoji is the problem . It's different then my keyboard's emoji . And another problem is I can't see one of my friends messages , it's keep saying SOMETHING WRONG PLS TRY AGAIN LATER soo this cause that I can't see their messages . I hope you will fix this ASAP"
R041,kumar Shanu,5,2021-03-17,98,It's such an wonderful app!It's performance is mind-blowing... It also uses less internet and work efficiently! It is the inter-mediatery between me and some1else!!
R042,Duchess Freya,3,2021-03-21,6452,"Glad that Lite exists. Noticed that we can't create collections. There are basic emojis in the comments section. However, it lags and crashes more than the original Instagram. Kindly fix this. Thank you. Update: Recently, Lite has been crashing saying, ""something went wrong. Please try again later."" and I checked in a few times, still the same message. Kindly fix this. Thank you."
R043,Walter Mataz,2,2021-03-21,589,I installed this app just so I could get back on Instagram using my phone because the original is givk my phone problems. This app is so slow when loading notifications and it doesn't have access to many things that us as the users want to use. It has limitations that I consider as useless but please try by all means to fix these
R044,Cem Özırmak,3,2021-03-23,2881,"It is good for most things people do on Instagram. However, I cannot access some of my group chats on DM and I don't know what the problem is. It says ""Something went wrong. Please try again later."". Also, I cannot vote for polls in stories or give an answer to the public questions and although it is the lite version of the original app, I think these should be included. After those fixes, it will be a great app."
R045,Queenie Meñoza,2,2021-03-24,937,"I hope you can fix the app itself :(( It's a great app but whenever I try to add some story or post a picture, it just kept on bugging. That's why I couldn't add some story or post a pic. I'm quite disappointed of how it works since the features of the IG lite is already satisfying for me, hope you can fix this :(("
R046,RAHUL BORANA,1,2021-03-24,778,"I had just created my new Instagram account a day before yesterday i.e. 15,March.But unfortunately I am not able to follow any of my friends or people.Every time I try to follow I get a message that says, Try Again Later We limit how often you can do certain things on Instagram, like following people, to protect our community. I also try to report this problem using an option of reporting this just belo the message but I doesn't work.I also try with InstaWeb but doesn't work. User,rahul.borana.1"
R047,Musa salisu Makeri,1,2021-03-28,3513,"Nice app, actually you devote very well during making this application lite Instagram, but there's little bit of some issues that you forget to fix it again, first 1, you did not fix theme for light/dark mode. 2, you should have to work on the IG connection, I mean put data control so that it may help to reduce consuming a lot of Instagram users. 3, you should have to fix speed replying during chatting. 4, make a standard stickers so that it will be exciting as well. Thank you!"
R048,Tae Texting fever,4,2021-03-29,411,"I am really happy with this app, everything is perfect... even my one of my favourite BTS members ' Jungkook ' is following me on Instagram which is very amazing.....the only problem I have is that Instagram doesn't allow me to post pictures I've taken a long time ago, it only allows me to post pictures I've taken recently.... can you please fix that error"
R049,Prasanth Ganesan,4,2021-03-31,226,This app is super cool and easy to use. Would be better if these minor improvements are made. 1. Unable to view more than 25 stories. Please add see more button if possible. 2. Deep linking is not working sometimes 3. Dark mode
R050,Lofi Walker,5,2021-04-03,147,This App Is So Good. I Love This App. But One Problem Is It Did Not Have 'Theme' As Well As 'Video Chat' Option. If It is Enabled Then It Will Might Good.
R051,Harikrishnan,3,2021-04-05,4787,"Its surely consumes less data than original app, but many of you may not get comfortable with this interface. One of the major problems I faced was that stories are getting replayed many times without me doing anything. The next major issue is that if you dont like a post it comes to your feed everytime over and over again until you like the post. Hope Instgram Team will find a solution to these problems"
R052,AlameZone Tech,1,2021-04-06,1420,"I'm really excited for this Lite Version. But my Security is better than everything, i have already enabled two factor authentication on my account before using this version, but the time i was log into my account using this Version, my login details Password and Username was been successfully logged in without asking for That Two factor authentication Codes. You better Check that Issue of 2FA Bypass and fix it."
R053,Piyush AryaPrakash,1,2021-04-06,3655,It's good to see that they are providing a lite version. But it doesn't even work . It's better to use in chrome than downloading lite. What's the problem - The feeds never get refreshed . You just have to scroll down and when you click refresh still you see the same feeds. Doesn't support links . Lags too much . Too much annoying while using the messenger. Despite having a good internet connection it keeps laging saying something went wrong. It's too slow
R054,Meisya Nurulia,5,2021-04-16,384,"Honestly, I just found out that Instagram has the lite version and I'm happy. because it has been a long time since I wanted Instagram to have a lite version for my small capacity cellphone. and I'm not that disappointed when using it. 💛💛🌻✨"
R055,Eymaan Mustafa,1,2021-04-17,536,Not smooth at all considering how little data is required to run it. Notifications' tab has to be refreshed either while using the app or when its closed. Lags as well. I opened a chat and the messages weren't showing up...even when they did they weren't completely loading
R056,nikhil nikhil,5,2021-04-17,92,"My phone is working on 2G network but it works very well , but there are some problems such as we can't upload videos, we can't answer any stickers, questions, polls, etc... and if we didn't like a post that post remain in the feed until we like it and also we can't see any live , if instagram try to solve this problems it will be the best app than now.But I always like instagram♡."
R057,ɳiƙ,4,2021-04-18,1353,"I love the smooth interface. So far, something that I've been waiting for from Instagram has finally come. Works well on my Nokia with Android 9 Pie. Tough there might still improvements. Also, please don't autoplay the video feed on timeline. Keep up the good work."
R058,TANMOY SEN,1,2021-04-20,1199,"Instagram Lite App Play Store will add three new options to the new update 1. ""Data Saver"", 2. ""Multiple Photos"", 3. ""Video Call and Voice Record "". We request you to give these three options very soon, then we Instagram Lite app users will be very, very happy. Thanks."
R059,Liaqatali Nazari,3,2021-04-22,318,One of the most annoying issue that I have faced since using Instagram is it's video autoplay. It's a major problem for those who don't have enough access to internet. I hope Instagram time work on this issue
R060,aenean,3,2021-04-24,528,"I'm happy that Instagram finally has the lite version. I've been waiting this for years. However, it still needs many improvements. A smoother UI, and I suppose the dark mode too. Keep it up. If FB lite version can do it, I'm sure you can too. 😄"
